
 "var","beta","HR","HR_low","HR_high","pvalue"
"age",0.111449167231408,1.11789691676592,2.99289266692469,3.12670988943172,5.98363568782916e-29
"sbp",0.00870265661302924,1.00874063481958,2.72137443407474,2.76323462476204,0.0241747142181178
"chol",-0.00176773136517981,0.99823383015166,2.70135270771274,2.72572709699704,0.44126105450746
"hdl",-0.0055695998439147,0.994445881622104,2.67190149686325,2.73529585186722,0.354496900214854
"bmi",-0.019699641777192,0.980493128257038,2.58123605053913,2.75608988885094,0.24793476873941
