"var","beta","HR","HR_low","HR_high","pvalue"
"sex",0.355274828095916,1.42657266266012,2.99529061748629,6.39226938550871,0.00802362772563797
"age",0.105690795017599,1.11147814878667,2.9972831141044,3.08151953569825,5.47119967429532e-62
"sbp",0.0123075494891657,1.01238359905071,2.73758952345695,2.76687176286584,4.41889332777746e-06
"chol",-0.002406158900051,0.997596733579888,2.70340068114035,2.72016503363491,0.128000127700164
"hdl",-0.00176096359253518,0.99824058599413,2.69089492026234,2.73649544874458,0.681760288670541
"bmi",-0.0220581313271655,0.978183370300888,2.59668851555796,2.72571474351437,0.0811032598343079
